date,repository,private,language,stars,forks,watchers,open_issues,views,views_uniques,clones,clones_uniques,commits,additions,deletions,net_change,scraped_at
2025-12-16,Sesquii/it-cert-automation-practice,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-23T05:10:01.942616
2025-12-16,Sesquii/Portfolio,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-23T05:10:02.274901
2025-12-16,Sesquii/scraper_for_all_repos_traffic,False,Python,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-23T05:10:02.595012
2025-12-16,Sesquii/Task_aversion_system,False,Python,0,0,0,0,1,1,15,13,4,3024,187,2837,2025-12-23T05:10:03.972385
2025-12-17,Sesquii/it-cert-automation-practice,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-24T01:39:55.841534
2025-12-17,Sesquii/Portfolio,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-24T01:39:56.472375
2025-12-17,Sesquii/scraper_for_all_repos_traffic,False,Python,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-24T01:39:57.030977
2025-12-17,Sesquii/Task_aversion_system,False,Python,0,0,0,0,5,1,7,7,1,81,66,15,2025-12-24T01:39:57.916769
2025-12-18,Sesquii/it-cert-automation-practice,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-25T01:41:45.428071
2025-12-18,Sesquii/Portfolio,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-25T01:41:45.873704
2025-12-18,Sesquii/scraper_for_all_repos_traffic,False,Python,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-25T01:41:46.269173
2025-12-18,Sesquii/Task_aversion_system,False,Python,0,0,0,0,2,1,0,0,4,761,75,686,2025-12-25T01:41:47.860614
2025-12-19,Sesquii/it-cert-automation-practice,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-26T01:41:13.643353
2025-12-19,Sesquii/Portfolio,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-26T01:41:13.883968
2025-12-19,Sesquii/scraper_for_all_repos_traffic,False,Python,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-26T01:41:14.146468
2025-12-19,Sesquii/Task_aversion_system,False,Python,0,0,0,0,8,1,42,28,9,5384,217,5167,2025-12-26T01:41:15.779797
2025-12-20,Sesquii/it-cert-automation-practice,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-27T01:39:01.845549
2025-12-20,Sesquii/Portfolio,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-27T01:39:02.108404
2025-12-20,Sesquii/scraper_for_all_repos_traffic,False,Python,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-27T01:39:02.420971
2025-12-20,Sesquii/Task_aversion_system,False,Python,0,0,0,0,86,11,118,38,9,2021,98,1923,2025-12-27T01:39:04.074923
2025-12-21,Sesquii/it-cert-automation-practice,False,,0,0,0,0,0,0,1,1,0,0,0,0,2025-12-28T01:51:22.184731
2025-12-21,Sesquii/Portfolio,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-28T01:51:22.610378
2025-12-21,Sesquii/scraper_for_all_repos_traffic,False,Python,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-28T01:51:23.069752
2025-12-21,Sesquii/Task_aversion_system,False,Python,0,0,0,0,21,2,28,24,8,4813,1271,3542,2025-12-28T01:51:25.365035
2025-12-22,Sesquii/it-cert-automation-practice,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-29T01:49:46.517974
2025-12-22,Sesquii/Portfolio,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-29T01:49:47.054362
2025-12-22,Sesquii/scraper_for_all_repos_traffic,False,Python,0,0,0,0,0,0,0,0,3,840,6,834,2025-12-29T01:49:48.273290
2025-12-22,Sesquii/Task_aversion_system,False,Python,0,0,0,0,19,3,34,15,2,886,0,886,2025-12-29T01:49:49.275150
2025-12-23,Sesquii/it-cert-automation-practice,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-30T01:42:00.124681
2025-12-23,Sesquii/Portfolio,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-30T01:42:00.413654
2025-12-23,Sesquii/scraper_for_all_repos_traffic,False,Python,0,0,0,0,15,1,15,15,1,121,1,120,2025-12-30T01:42:00.870983
2025-12-23,Sesquii/Task_aversion_system,False,Python,0,0,0,0,0,0,0,0,11,3279,298,2981,2025-12-30T01:42:03.945032
2025-12-24,Sesquii/it-cert-automation-practice,False,,0,0,0,0,0,0,1,1,0,0,0,0,2025-12-31T01:42:27.606270
2025-12-24,Sesquii/Portfolio,False,,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-31T01:42:27.852673
2025-12-24,Sesquii/scraper_for_all_repos_traffic,False,Python,0,0,0,0,4,1,12,10,1,121,1,120,2025-12-31T01:42:28.257266
2025-12-24,Sesquii/Task_aversion_system,False,Python,0,0,0,0,11,1,12,9,4,3178,29,3149,2025-12-31T01:42:29.581021
